MasterID,UniqueID,Long,Lat,Sensor,Image,Global_AEZ,Country,StudyArea,Year,Month,JulianDay,Crop,PlotID,Wavelength,Reflectance
3000041,ALSHA0504.1.2011,-119.3170888,35.48298807,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0504,428,3.564579652
3000042,ALSHA0505.1.2011,-119.3174465,35.48296351,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0505,428,3.070565715
3000043,ALSHA0506.1.2011,-119.3178047,35.48298614,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0506,428,2.985369905
3000044,ALSHA0507.1.2011,-119.3177842,35.48270853,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0507,428,2.935097935
3000045,ALSHA0508.1.2011,-119.317434,35.48270493,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0508,428,3.03357504
3000046,ALSHA0509.1.2011,-119.3170485,35.48267727,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0509,428,5.363761388
3000047,ALSHA0510.1.2011,-119.317411,35.48295479,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0510,428,2.702337802
3000048,ALSHA0601.1.2011,-119.3194547,35.48421543,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0601,428,2.734648956
3000049,ALSHA0602.1.2011,-119.3190713,35.48422046,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0602,428,2.489600976
3000050,ALSHA0603.1.2011,-119.318702,35.48423085,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0603,428,2.475567908
3000051,ALSHA0604.1.2011,-119.3187123,35.48388929,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0604,428,4.035958737
3000052,ALSHA0605.1.2011,-119.3190687,35.48391477,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0605,428,2.289076771
3000053,ALSHA0606.1.2011,-119.3194418,35.48393765,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0606,428,3.091014746
3000054,ALSHA0607.1.2011,-119.3194136,35.48366122,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0607,428,2.85564881
3000055,ALSHA0608.1.2011,-119.3190469,35.48364513,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0608,428,3.200272526
3000056,ALSHA0609.1.2011,-119.3186918,35.48364052,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0609,428,3.179441175
3000057,ALSHA0610.1.2011,-119.3190633,35.48390463,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0610,428,2.857607554
3000058,ALSHA0701.1.2011,-119.3153522,35.48488783,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0701,428,2.146974804
3000059,ALSHA0702.1.2011,-119.3153106,35.48459739,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0702,428,2.414941723
3000060,ALSHA0703.1.2011,-119.3153054,35.48434175,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0703,428,2.397188976
3000061,ALSHA0704.1.2011,-119.3156488,35.4843311,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0704,428,2.195017198
3000062,ALSHA0705.1.2011,-119.3156672,35.48458532,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0705,428,2.337617074
3000063,ALSHA0706.1.2011,-119.3156508,35.48488313,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0706,428,2.292103382
3000064,ALSHA0707.1.2011,-119.3159902,35.48489286,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0707,428,2.392114218
3000065,ALSHA0708.1.2011,-119.3160177,35.48457468,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0708,428,2.184100903
